neighbourhood_group_cleansed,Location Rating,price
Friedrichshain-Kreuzberg,9.8154724364883,72.95018332728958
Pankow,9.771253879005746,74.49361575971948
Tempelhof - Schöneberg,9.762859560067682,71.36535481871708
Charlottenburg-Wilm.,9.744100669033644,66.3959070663296
Mitte,9.734858059843503,86.40516940521213
Steglitz - Zehlendorf,9.620486555697823,55.53082629828601
Neukölln,9.56939393939394,58.8403676198797
Spandau,9.487157894736843,47.840488215488215
Treptow - Köpenick,9.429106628242074,52.80611755681274
Reinickendorf,9.351057982962352,43.97915237964614
Lichtenberg,9.2545952810641,51.67934347477983
Marzahn - Hellersdorf,8.960766423357665,53.564266180492254
